PMN 25mkm, 24.5.2021, 17:33
Diameter[mm] 2.000e+00  Thickness[mm] 2.500e-02  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=2.858e+05  AC Volt  [Vrms]=2.000e-01
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
2.93237e+02	4.86823e+03	3.97057e+03	6.31268e-04	8.15609e-01	5.41664e-09	5.03581e+01	-6.17430e+01	2.93237e+02
2.95881e+02	4.76204e+03	3.89089e+03	6.18599e-04	8.17063e-01	5.29849e-09	5.14994e+01	-6.30299e+01	2.95881e+02
2.98679e+02	5.77216e+03	3.39505e+03	5.39768e-04	5.88177e-01	6.42241e-09	3.78939e+01	-6.44260e+01	2.98679e+02
3.01302e+02	5.51483e+03	3.38887e+03	5.38784e-04	6.14500e-01	6.13609e-09	4.04849e+01	-6.58826e+01	3.01302e+02
3.04075e+02	5.41662e+03	3.28717e+03	5.22616e-04	6.06867e-01	6.02681e-09	4.09843e+01	-6.75342e+01	3.04075e+02
3.06712e+02	5.61894e+03	3.01455e+03	4.79272e-04	5.36497e-01	6.25192e-09	3.71095e+01	-6.91699e+01	3.06712e+02
3.09247e+02	4.39196e+03	3.41967e+03	5.43682e-04	7.78621e-01	4.88673e-09	5.52438e+01	-7.09509e+01	3.09247e+02
3.11702e+02	4.78636e+03	3.17593e+03	5.04931e-04	6.63538e-01	5.32555e-09	4.81773e+01	-7.26067e+01	3.11702e+02
3.14088e+02	4.87873e+03	3.00886e+03	4.78368e-04	6.16729e-01	5.42833e-09	4.58381e+01	-7.43245e+01	3.14088e+02
3.16593e+02	3.93403e+03	3.21084e+03	5.10480e-04	8.16171e-01	4.37720e-09	6.23251e+01	-7.63628e+01	3.16593e+02
3.18980e+02	4.39682e+03	2.96878e+03	4.71996e-04	6.75211e-01	4.89213e-09	5.27954e+01	-7.81910e+01	3.18980e+02
3.21349e+02	4.87960e+03	2.58390e+03	4.10806e-04	5.29531e-01	5.42930e-09	4.24219e+01	-8.01122e+01	3.21349e+02
3.23688e+02	4.77469e+03	2.50824e+03	3.98777e-04	5.25321e-01	5.31256e-09	4.31591e+01	-8.21574e+01	3.23688e+02
3.26077e+02	4.75289e+03	2.37274e+03	3.77235e-04	4.99221e-01	5.28832e-09	4.20848e+01	-8.43009e+01	3.26077e+02
3.28556e+02	3.85890e+03	2.71523e+03	4.31685e-04	7.03628e-01	4.29361e-09	6.10437e+01	-8.67557e+01	3.28556e+02
3.31112e+02	3.87132e+03	2.59270e+03	4.12204e-04	6.69719e-01	4.30743e-09	5.97775e+01	-8.92575e+01	3.31112e+02
3.33455e+02	4.05593e+03	2.38948e+03	3.79895e-04	5.89132e-01	4.51283e-09	5.39710e+01	-9.16109e+01	3.33455e+02
3.35877e+02	3.93970e+03	2.32711e+03	3.69979e-04	5.90683e-01	4.38351e-09	5.56339e+01	-9.41857e+01	3.35877e+02
3.38293e+02	3.58006e+03	2.38159e+03	3.78641e-04	6.65238e-01	3.98336e-09	6.44745e+01	-9.69194e+01	3.38293e+02
3.40716e+02	3.78746e+03	2.16368e+03	3.43996e-04	5.71275e-01	4.21412e-09	5.69203e+01	-9.96373e+01	3.40716e+02
3.43145e+02	4.12240e+03	1.77417e+03	2.82068e-04	4.30372e-01	4.58680e-09	4.40884e+01	-1.02443e+02	3.43145e+02
3.45653e+02	4.03133e+03	1.69201e+03	2.69007e-04	4.19716e-01	4.48547e-09	4.43067e+01	-1.05564e+02	3.45653e+02
3.48279e+02	3.90017e+03	1.64845e+03	2.62081e-04	4.22661e-01	4.33953e-09	4.60210e+01	-1.08884e+02	3.48279e+02
3.50758e+02	3.28261e+03	1.96338e+03	3.12151e-04	5.98116e-01	3.65240e-09	6.71705e+01	-1.12304e+02	3.50758e+02
3.53197e+02	3.01917e+03	1.98601e+03	3.15749e-04	6.57802e-01	3.35928e-09	7.61170e+01	-1.15714e+02	3.53197e+02
3.55715e+02	3.39355e+03	1.65651e+03	2.63362e-04	4.88134e-01	3.77584e-09	5.81429e+01	-1.19113e+02	3.55715e+02
3.58044e+02	3.45662e+03	1.47628e+03	2.34709e-04	4.27088e-01	3.84601e-09	5.23034e+01	-1.22465e+02	3.58044e+02
3.60637e+02	3.63806e+01	7.27907e+01	1.15727e-05	2.00081e+00	4.04790e-11	5.50192e+03	-2.74985e+03	3.60637e+02
3.62900e+02	3.53034e+01	1.41153e+00	2.24414e-07	3.99828e-02	3.92803e-11	5.65970e+02	-1.41553e+04	3.62900e+02
3.65154e+02	3.55923e+01	1.45827e+00	2.31846e-07	4.09715e-02	3.96019e-11	5.75210e+02	-1.40393e+04	3.65154e+02
3.67416e+02	3.58957e+01	1.53214e+00	2.43589e-07	4.26830e-02	3.99394e-11	5.94089e+02	-1.39186e+04	3.67416e+02
3.69234e+02	3.61815e+01	1.60709e+00	2.55505e-07	4.44174e-02	4.02574e-11	6.13253e+02	-1.38066e+04	3.69234e+02
3.70990e+02	3.63964e+01	1.65746e+00	2.63513e-07	4.55390e-02	4.04965e-11	6.24965e+02	-1.37237e+04	3.70990e+02
3.72847e+02	3.66866e+01	1.71762e+00	2.73079e-07	4.68188e-02	4.08194e-11	6.37370e+02	-1.36135e+04	3.72847e+02
3.74727e+02	3.70611e+01	1.80698e+00	2.87286e-07	4.87568e-02	4.12361e-11	6.56925e+02	-1.34735e+04	3.74727e+02
3.76929e+02	3.77765e+01	1.92760e+00	3.06462e-07	5.10264e-02	4.20321e-11	6.74332e+02	-1.32154e+04	3.76929e+02
3.78779e+02	3.79824e+01	2.02424e+00	3.21828e-07	5.32943e-02	4.22612e-11	7.00319e+02	-1.31406e+04	3.78779e+02
3.80615e+02	3.81410e+01	2.15527e+00	3.42659e-07	5.65079e-02	4.24377e-11	7.39200e+02	-1.30814e+04	3.80615e+02
3.82420e+02	3.82439e+01	2.18812e+00	3.47882e-07	5.72148e-02	4.25522e-11	7.46374e+02	-1.30451e+04	3.82420e+02
3.84249e+02	3.83857e+01	2.29431e+00	3.64764e-07	5.97697e-02	4.27100e-11	7.76591e+02	-1.29930e+04	3.84249e+02
3.86020e+02	3.84917e+01	2.36159e+00	3.75461e-07	6.13533e-02	4.28279e-11	7.94820e+02	-1.29548e+04	3.86020e+02
3.87876e+02	3.86216e+01	2.46021e+00	3.91140e-07	6.37003e-02	4.29723e-11	8.22210e+02	-1.29075e+04	3.87876e+02
3.89649e+02	3.87594e+01	2.55822e+00	4.06723e-07	6.60027e-02	4.31257e-11	8.48646e+02	-1.28577e+04	3.89649e+02
3.91462e+02	3.89195e+01	2.65673e+00	4.22384e-07	6.82621e-02	4.33039e-11	8.73822e+02	-1.28010e+04	3.91462e+02
3.93289e+02	3.91246e+01	2.76337e+00	4.39339e-07	7.06300e-02	4.35321e-11	8.99098e+02	-1.27297e+04	3.93289e+02
3.95122e+02	3.93409e+01	2.87802e+00	4.57566e-07	7.31557e-02	4.37728e-11	9.25796e+02	-1.26551e+04	3.95122e+02
3.97082e+02	3.96227e+01	3.01025e+00	4.78589e-07	7.59729e-02	4.40862e-11	9.54213e+02	-1.25599e+04	3.97082e+02
3.98841e+02	3.98610e+01	3.14899e+00	5.00647e-07	7.89992e-02	4.43515e-11	9.85829e+02	-1.24790e+04	3.98841e+02
3.96722e+02	3.96689e+01	2.95309e+00	4.69501e-07	7.44433e-02	4.41377e-11	9.34124e+02	-1.25481e+04	3.96722e+02
3.93049e+02	3.93771e+01	2.74168e+00	4.35890e-07	6.96262e-02	4.38129e-11	8.80763e+02	-1.26499e+04	3.93049e+02
3.89511e+02	3.91166e+01	2.54579e+00	4.04746e-07	6.50822e-02	4.35231e-11	8.29269e+02	-1.27419e+04	3.89511e+02
3.85846e+02	3.88636e+01	2.36855e+00	3.76567e-07	6.09451e-02	4.32417e-11	7.82015e+02	-1.28315e+04	3.85846e+02
3.82099e+02	3.86463e+01	2.21381e+00	3.51966e-07	5.72839e-02	4.29999e-11	7.39489e+02	-1.29092e+04	3.82099e+02
3.78448e+02	3.84343e+01	2.07920e+00	3.30564e-07	5.40974e-02	4.27640e-11	7.02453e+02	-1.29850e+04	3.78448e+02
3.74806e+02	3.82417e+01	1.96134e+00	3.11827e-07	5.12881e-02	4.25496e-11	6.69528e+02	-1.30543e+04	3.74806e+02
3.71179e+02	3.80324e+01	1.83498e+00	2.91738e-07	4.82478e-02	4.23168e-11	6.33496e+02	-1.31300e+04	3.71179e+02
3.66468e+02	3.77832e+01	1.71045e+00	2.71939e-07	4.52702e-02	4.20396e-11	5.98486e+02	-1.32203e+04	3.66468e+02
3.61816e+02	3.72219e+01	1.58150e+00	2.51438e-07	4.24885e-02	4.14150e-11	5.70321e+02	-1.34229e+04	3.61816e+02
3.57165e+02	3.68316e+01	1.46315e+00	2.32621e-07	3.97254e-02	4.09807e-11	5.39005e+02	-1.35683e+04	3.57165e+02
3.53193e+02	3.57300e+01	1.32725e+00	2.11015e-07	3.71467e-02	3.97551e-11	5.19658e+02	-1.39894e+04	3.53193e+02
3.49248e+02	3.52643e+01	1.23469e+00	1.96299e-07	3.50125e-02	3.92369e-11	4.96347e+02	-1.41763e+04	3.49248e+02
3.45324e+02	3.50020e+01	1.18231e+00	1.87971e-07	3.37783e-02	3.89450e-11	4.82480e+02	-1.42837e+04	3.45324e+02
3.41386e+02	3.47426e+01	1.14348e+00	1.81798e-07	3.29130e-02	3.86564e-11	4.73658e+02	-1.43912e+04	3.41386e+02
3.37423e+02	3.45457e+01	9.63817e-01	1.53234e-07	2.78998e-02	3.84373e-11	4.03923e+02	-1.44777e+04	3.37423e+02
3.33480e+02	3.43707e+01	8.91723e-01	1.41772e-07	2.59443e-02	3.82426e-11	3.77565e+02	-1.45529e+04	3.33480e+02
3.29807e+02	3.38218e+01	8.86674e-01	1.40969e-07	2.62161e-02	3.76318e-11	3.87706e+02	-1.47889e+04	3.29807e+02
3.26010e+02	3.34176e+01	8.08692e-01	1.28571e-07	2.41996e-02	3.71821e-11	3.62251e+02	-1.49693e+04	3.26010e+02
3.22032e+02	3.31314e+01	7.63646e-01	1.21409e-07	2.30490e-02	3.68638e-11	3.48025e+02	-1.50994e+04	3.22032e+02
3.18003e+02	3.29614e+01	7.27290e-01	1.15629e-07	2.20649e-02	3.66745e-11	3.34900e+02	-1.51779e+04	3.18003e+02
3.14033e+02	3.27278e+01	6.62275e-01	1.05293e-07	2.02359e-02	3.64146e-11	3.09355e+02	-1.52875e+04	3.14033e+02
3.09980e+02	3.24929e+01	6.08148e-01	9.66873e-08	1.87163e-02	3.61533e-11	2.88211e+02	-1.53989e+04	3.09980e+02
3.05965e+02	3.23061e+01	5.64598e-01	8.97635e-08	1.74765e-02	3.59455e-11	2.70686e+02	-1.54886e+04	3.05965e+02
