PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=5.778e+00  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.29974e+02	9.74359e+03	8.31370e+02	2.67230e-09	6.51151e-09	8.53248e-02	2.77169e+04	2.29974e+02
2.29942e+02	9.72837e+03	8.28494e+02	2.66306e-09	6.50133e-09	8.51627e-02	2.78746e+04	2.29942e+02
2.30004e+02	9.73476e+03	8.26741e+02	2.65742e-09	6.50561e-09	8.49267e-02	2.80326e+04	2.30004e+02
2.30012e+02	9.73035e+03	8.24722e+02	2.65093e-09	6.50266e-09	8.47576e-02	2.81896e+04	2.30012e+02
2.29989e+02	9.72033e+03	8.22568e+02	2.64401e-09	6.49596e-09	8.46235e-02	2.83467e+04	2.29989e+02
2.29988e+02	9.71451e+03	8.20790e+02	2.63829e-09	6.49207e-09	8.44912e-02	2.85042e+04	2.29988e+02
2.30001e+02	9.71569e+03	8.19232e+02	2.63328e-09	6.49286e-09	8.43205e-02	2.86613e+04	2.30001e+02
2.30001e+02	9.70941e+03	8.17604e+02	2.62805e-09	6.48867e-09	8.42074e-02	2.88187e+04	2.30001e+02
2.30001e+02	9.70588e+03	8.16599e+02	2.62482e-09	6.48631e-09	8.41345e-02	2.89760e+04	2.30001e+02
2.29991e+02	9.69899e+03	8.14718e+02	2.61878e-09	6.48170e-09	8.40003e-02	2.91337e+04	2.29991e+02
2.29997e+02	9.69607e+03	8.13667e+02	2.61540e-09	6.47975e-09	8.39172e-02	2.92913e+04	2.29997e+02
2.29994e+02	9.69215e+03	8.12011e+02	2.61007e-09	6.47713e-09	8.37802e-02	2.94483e+04	2.29994e+02
2.29999e+02	9.69037e+03	8.11400e+02	2.60811e-09	6.47594e-09	8.37326e-02	2.96060e+04	2.29999e+02
2.29924e+02	9.66226e+03	8.08154e+02	2.59768e-09	6.45715e-09	8.36403e-02	2.97631e+04	2.29924e+02
2.28875e+02	9.41639e+03	7.99125e+02	2.56865e-09	6.29285e-09	8.48653e-02	2.99204e+04	2.28875e+02
2.27557e+02	9.14464e+03	7.92946e+02	2.54879e-09	6.11124e-09	8.67116e-02	3.00779e+04	2.27557e+02
2.26361e+02	8.87543e+03	7.76815e+02	2.49694e-09	5.93133e-09	8.75242e-02	3.02222e+04	2.26361e+02
2.25437e+02	8.66438e+03	7.53375e+02	2.42160e-09	5.79029e-09	8.69509e-02	3.03679e+04	2.25437e+02
2.27523e+02	9.13400e+03	7.89575e+02	2.53796e-09	6.10412e-09	8.64435e-02	3.05321e+04	2.27523e+02
2.29810e+02	9.76888e+03	8.61511e+02	2.76918e-09	6.52841e-09	8.81893e-02	3.06692e+04	2.29810e+02
2.32048e+02	1.05449e+04	9.68931e+02	3.11447e-09	7.04699e-09	9.18866e-02	3.08046e+04	2.32048e+02
2.34015e+02	1.13332e+04	1.08273e+03	3.48027e-09	7.57385e-09	9.55362e-02	3.09233e+04	2.34015e+02
