PMN (111), 2.4.2019, 11:26
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=3.725e+02  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	  Cp' [F]	 Zs' [Ohms]	M Temp [K]
3.80255e+02	4.97812e+03	1.80949e-10	1.75388e-04	-1.28420e+05	8.73104e-01	3.32681e-09	2.25233e+01	3.80255e+02
3.79324e+02	5.04973e+03	-5.37093e-11	-5.13206e-05	-1.26599e+05	-2.59155e-01	3.37466e-09	-6.49713e+00	3.79324e+02
3.78359e+02	5.11980e+03	-6.10112e-11	-5.74999e-05	-1.24866e+05	-2.94388e-01	3.42149e-09	-7.17978e+00	3.78359e+02
3.77520e+02	5.18500e+03	7.53624e-11	7.01321e-05	-1.23296e+05	3.63635e-01	3.46506e-09	8.64700e+00	3.77520e+02
3.76643e+02	5.25313e+03	8.74906e-11	8.03626e-05	-1.21697e+05	4.22155e-01	3.51059e-09	9.77989e+00	3.76643e+02
3.75734e+02	5.32613e+03	2.06528e-11	1.87102e-05	-1.20029e+05	9.96528e-02	3.55938e-09	2.24576e+00	3.75734e+02
3.74876e+02	5.39405e+03	8.72732e-11	7.80686e-05	-1.18517e+05	4.21106e-01	3.60477e-09	9.25250e+00	3.74876e+02
3.73992e+02	5.46771e+03	5.94585e-11	5.24710e-05	-1.16921e+05	2.86896e-01	3.65399e-09	6.13496e+00	3.73992e+02
3.73031e+02	5.54788e+03	1.29145e-10	1.12321e-04	-1.15231e+05	6.23143e-01	3.70757e-09	1.29429e+01	3.73031e+02
3.72113e+02	5.62930e+03	1.58509e-10	1.35866e-04	-1.13565e+05	7.64831e-01	3.76198e-09	1.54296e+01	3.72113e+02
3.71214e+02	5.70460e+03	5.63300e-11	4.76458e-05	-1.12066e+05	2.71801e-01	3.81231e-09	5.33946e+00	3.71214e+02
3.70009e+02	5.81226e+03	1.61872e-10	1.34381e-04	-1.09990e+05	7.81055e-01	3.88425e-09	1.47805e+01	3.70009e+02
3.69119e+02	5.89417e+03	3.33167e-10	2.72740e-04	-1.08461e+05	1.60758e+00	3.93899e-09	2.95818e+01	3.69119e+02
3.68103e+02	5.98457e+03	1.60329e-10	1.29268e-04	-1.06823e+05	7.73614e-01	3.99941e-09	1.38088e+01	3.68103e+02
3.67220e+02	6.06422e+03	1.25322e-10	9.97152e-05	-1.05420e+05	6.04695e-01	4.05264e-09	1.05120e+01	3.67220e+02
3.66367e+02	6.14635e+03	1.91432e-10	1.50282e-04	-1.04011e+05	9.23688e-01	4.10752e-09	1.56311e+01	3.66367e+02
3.65511e+02	6.22545e+03	2.26258e-10	1.75365e-04	-1.02690e+05	1.09173e+00	4.16038e-09	1.80082e+01	3.65511e+02
3.64594e+02	6.31810e+03	1.32309e-10	1.01045e-04	-1.01184e+05	6.38412e-01	4.22230e-09	1.02241e+01	3.64594e+02
3.63729e+02	6.39962e+03	1.13830e-10	8.58252e-05	-9.98949e+04	5.49248e-01	4.27678e-09	8.57350e+00	3.63729e+02
3.62828e+02	6.54879e+03	-1.50605e-10	-1.10966e-04	-9.76195e+04	-7.26693e-01	4.37647e-09	-1.08325e+01	3.62828e+02
3.61995e+02	6.64422e+03	-2.06970e-10	-1.50305e-04	-9.62174e+04	-9.98662e-01	4.44024e-09	-1.44620e+01	3.61995e+02
3.61130e+02	6.73322e+03	-1.86573e-10	-1.33702e-04	-9.49456e+04	-9.00243e-01	4.49972e-09	-1.26944e+01	3.61130e+02
3.60205e+02	6.83237e+03	-3.58089e-11	-2.52889e-05	-9.35678e+04	-1.72783e-01	4.56598e-09	-2.36623e+00	3.60205e+02
3.59354e+02	6.93254e+03	2.14071e-10	1.48997e-04	-9.22158e+04	1.03292e+00	4.63292e-09	1.37398e+01	3.59354e+02
3.58502e+02	7.02081e+03	-6.21519e-11	-4.27147e-05	-9.10563e+04	-2.99892e-01	4.69191e-09	-3.88945e+00	3.58502e+02
3.57628e+02	7.12082e+03	-1.39499e-10	-9.45260e-05	-8.97775e+04	-6.73102e-01	4.75875e-09	-8.48630e+00	3.57628e+02
3.56694e+02	7.22218e+03	-2.57737e-10	-1.72194e-04	-8.85175e+04	-1.24362e+00	4.82648e-09	-1.52422e+01	3.56694e+02
3.55840e+02	7.32229e+03	-2.64108e-10	-1.74039e-04	-8.73073e+04	-1.27436e+00	4.89339e-09	-1.51949e+01	3.55840e+02
3.55087e+02	7.41516e+03	-1.19291e-10	-7.76242e-05	-8.62138e+04	-5.75596e-01	4.95545e-09	-6.69228e+00	3.55087e+02
3.54240e+02	7.51318e+03	1.10975e-10	7.12711e-05	-8.50891e+04	5.35472e-01	5.02095e-09	6.06439e+00	3.54240e+02
3.53470e+02	7.61235e+03	-2.21903e-10	-1.40655e-04	-8.39806e+04	-1.07072e+00	5.08723e-09	-1.18123e+01	3.53470e+02
3.52602e+02	7.71479e+03	-2.85746e-10	-1.78717e-04	-8.28654e+04	-1.37877e+00	5.15569e-09	-1.48095e+01	3.52602e+02
3.51836e+02	7.81436e+03	-4.79392e-10	-2.96011e-04	-8.18095e+04	-2.31314e+00	5.22223e-09	-2.42165e+01	3.51836e+02
3.50917e+02	7.93061e+03	-1.52090e-10	-9.25349e-05	-8.06103e+04	-7.33858e-01	5.29992e-09	-7.45927e+00	3.50917e+02
3.50065e+02	8.03961e+03	3.39440e-12	2.03723e-06	-7.95175e+04	1.63785e-02	5.37276e-09	1.61995e-01	3.50065e+02
3.49250e+02	8.14585e+03	-3.09156e-10	-1.83127e-04	-7.84804e+04	-1.49172e+00	5.44376e-09	-1.43719e+01	3.49250e+02
3.48465e+02	8.24746e+03	-2.12268e-10	-1.24186e-04	-7.75135e+04	-1.02422e+00	5.51166e-09	-9.62613e+00	3.48465e+02
3.47629e+02	8.35733e+03	1.78773e-10	1.03215e-04	-7.64945e+04	8.62605e-01	5.58509e-09	7.89541e+00	3.47629e+02
3.46877e+02	8.46435e+03	-3.57196e-10	-2.03621e-04	-7.55272e+04	-1.72352e+00	5.65661e-09	-1.53790e+01	3.46877e+02
3.46007e+02	8.59204e+03	-2.52654e-10	-1.41886e-04	-7.44048e+04	-1.21909e+00	5.74195e-09	-1.05570e+01	3.46007e+02
3.45109e+02	8.71309e+03	-3.19346e-11	-1.76848e-05	-7.33712e+04	-1.54089e-01	5.82284e-09	-1.29755e+00	3.45109e+02
3.44297e+02	8.83161e+03	-3.97657e-10	-2.17260e-04	-7.23865e+04	-1.91875e+00	5.90205e-09	-1.57267e+01	3.44297e+02
3.43481e+02	8.95250e+03	-4.60166e-10	-2.48017e-04	-7.14090e+04	-2.22037e+00	5.98283e-09	-1.77106e+01	3.43481e+02
3.42674e+02	9.07467e+03	-2.67114e-10	-1.42029e-04	-7.04477e+04	-1.28886e+00	6.06448e-09	-1.00056e+01	3.42674e+02
3.41857e+02	9.19775e+03	-2.76290e-10	-1.44942e-04	-6.95049e+04	-1.33314e+00	6.14673e-09	-1.00742e+01	3.41857e+02
3.41059e+02	9.31470e+03	-7.27779e-11	-3.77000e-05	-6.86323e+04	-3.51164e-01	6.22488e-09	-2.58744e+00	3.41059e+02
3.40281e+02	9.43649e+03	-3.98378e-10	-2.03702e-04	-6.77466e+04	-1.92223e+00	6.30627e-09	-1.38001e+01	3.40281e+02
3.39504e+02	9.56196e+03	-4.27720e-11	-2.15836e-05	-6.68576e+04	-2.06381e-01	6.39012e-09	-1.44303e+00	3.39504e+02
3.38333e+02	9.75050e+03	-1.59834e-10	-7.90959e-05	-6.55648e+04	-7.71224e-01	6.51612e-09	-5.18591e+00	3.38333e+02
3.37333e+02	9.90702e+03	-2.90931e-10	-1.41696e-04	-6.45289e+04	-1.40379e+00	6.62073e-09	-9.14351e+00	3.37333e+02
3.36386e+02	1.00551e+04	2.09205e-10	1.00392e-04	-6.35788e+04	1.00945e+00	6.71966e-09	6.38280e+00	3.36386e+02
3.35476e+02	1.02185e+04	-7.47178e-11	-3.52817e-05	-6.25622e+04	-3.60524e-01	6.82885e-09	-2.20730e+00	3.35476e+02
3.34511e+02	1.03630e+04	-3.46381e-10	-1.61280e-04	-6.16898e+04	-1.67134e+00	6.92543e-09	-9.94933e+00	3.34511e+02
3.33554e+02	1.05326e+04	8.43944e-11	3.86624e-05	-6.06962e+04	4.07216e-01	7.03880e-09	2.34666e+00	3.33554e+02
3.32641e+02	1.06977e+04	3.85686e-10	1.73962e-04	-5.97593e+04	1.86099e+00	7.14915e-09	1.03958e+01	3.32641e+02
3.31805e+02	1.08493e+04	-1.16077e-10	-5.16243e-05	-5.89243e+04	-5.60089e-01	7.25046e-09	-3.04193e+00	3.31805e+02
3.30885e+02	1.10077e+04	2.82576e-10	1.23866e-04	-5.80767e+04	1.36347e+00	7.35627e-09	7.19372e+00	3.30885e+02
3.30077e+02	1.11578e+04	5.97552e-10	2.58408e-04	-5.72950e+04	2.88328e+00	7.45664e-09	1.48055e+01	3.30077e+02
3.29138e+02	1.13408e+04	6.15408e-10	2.61836e-04	-5.63708e+04	2.96943e+00	7.57890e-09	1.47599e+01	3.29138e+02
3.28285e+02	1.14947e+04	-1.25502e-10	-5.26820e-05	-5.56160e+04	-6.05564e-01	7.68175e-09	-2.92996e+00	3.28285e+02
3.27422e+02	1.16657e+04	-1.02908e-10	-4.25647e-05	-5.48007e+04	-4.96548e-01	7.79603e-09	-2.33258e+00	3.27422e+02
3.26491e+02	1.18339e+04	-1.65920e-10	-6.76523e-05	-5.40221e+04	-8.00588e-01	7.90841e-09	-3.65472e+00	3.26491e+02
3.25583e+02	1.20183e+04	4.30092e-11	1.72674e-05	-5.31928e+04	2.07526e-01	8.03170e-09	9.18502e-01	3.25583e+02
3.24680e+02	1.21886e+04	3.35538e-11	1.32831e-05	-5.24499e+04	1.61902e-01	8.14545e-09	6.96698e-01	3.24680e+02
3.23799e+02	1.23574e+04	-5.64636e-10	-2.20471e-04	-5.17334e+04	-2.72445e+00	8.25827e-09	-1.14057e+01	3.23799e+02
3.22842e+02	1.25588e+04	-2.77283e-10	-1.06533e-04	-5.09035e+04	-1.33793e+00	8.39291e-09	-5.42290e+00	3.22842e+02
3.21963e+02	1.27372e+04	-2.32635e-10	-8.81280e-05	-5.01909e+04	-1.12250e+00	8.51207e-09	-4.42322e+00	3.21963e+02
3.21135e+02	1.29172e+04	-3.71465e-12	-1.38759e-06	-4.94913e+04	-1.79237e-02	8.63238e-09	-6.86735e-02	3.21135e+02
3.20256e+02	1.30791e+04	5.68733e-11	2.09818e-05	-4.88788e+04	2.74422e-01	8.74057e-09	1.02556e+00	3.20256e+02
